iter	Passed	Remaining
801	1984	489
802	1986	487
803	1988	484
804	1990	482
805	1993	479
806	1995	477
807	1997	474
808	1999	472
809	2002	469
810	2004	467
811	2006	464
812	2008	462
813	2011	459
814	2013	457
815	2015	454
816	2017	451
817	2019	449
818	2022	446
819	2024	444
820	2026	441
821	2028	439
822	2030	436
823	2033	434
824	2035	431
825	2037	429
826	2040	426
827	2042	424
828	2045	421
829	2047	419
830	2049	416
831	2051	414
832	2054	411
833	2056	409
834	2058	406
835	2060	404
836	2063	401
837	2065	399
838	2067	396
839	2070	394
840	2072	391
841	2074	389
842	2076	386
843	2079	384
844	2081	381
845	2083	379
846	2085	376
847	2088	374
848	2090	371
849	2092	369
850	2095	366
851	2097	364
852	2099	361
853	2102	359
854	2104	356
855	2106	354
856	2108	351
857	2111	349
858	2113	346
859	2115	344
860	2118	341
861	2120	339
862	2122	337
863	2125	334
864	2127	332
865	2129	329
866	2132	327
867	2134	324
868	2136	322
869	2139	319
870	2141	317
871	2143	314
872	2146	312
873	2148	309
874	2150	307
875	2152	304
876	2155	302
877	2157	299
878	2159	297
879	2161	294
880	2164	292
881	2166	289
882	2168	287
883	2170	284
884	2172	282
885	2175	279
886	2177	277
887	2179	274
888	2181	272
889	2184	269
890	2186	267
891	2188	265
892	2191	262
893	2193	260
894	2195	257
895	2197	255
896	2200	252
897	2202	250
898	2204	247
899	2206	245
900	2209	242
901	2211	240
902	2214	237
903	2216	235
904	2219	232
905	2221	230
906	2225	228
907	2228	225
908	2230	223
909	2233	220
910	2235	218
911	2237	215
912	2240	213
913	2242	211
914	2245	208
915	2248	206
916	2251	203
917	2253	201
918	2256	198
919	2259	196
920	2261	193
921	2263	191
922	2266	189
923	2268	186
924	2271	184
925	2273	181
926	2275	179
927	2278	176
928	2280	174
929	2283	171
930	2285	169
931	2287	166
932	2290	164
933	2292	161
934	2294	159
935	2297	157
936	2299	154
937	2301	152
938	2304	149
939	2306	147
940	2309	144
941	2311	142
942	2314	139
943	2316	137
944	2318	134
945	2320	132
946	2323	130
947	2325	127
948	2327	125
949	2330	122
950	2332	120
951	2334	117
952	2337	115
953	2339	112
954	2342	110
955	2344	107
956	2346	105
957	2348	102
958	2351	100
959	2353	98
960	2355	95
961	2358	93
962	2360	90
963	2362	88
964	2364	85
965	2367	83
966	2369	80
967	2371	78
968	2374	75
969	2376	73
970	2378	71
971	2380	68
972	2383	66
973	2385	63
974	2387	61
975	2390	58
976	2392	56
977	2394	53
978	2397	51
979	2399	48
980	2401	46
981	2403	44
982	2406	41
983	2408	39
984	2411	36
985	2413	34
986	2415	31
987	2417	29
988	2420	26
989	2422	24
990	2424	22
991	2426	19
992	2429	17
993	2431	14
994	2433	12
995	2435	9
996	2438	7
997	2441	4
998	2443	2
999	2446	0
